21:15:50: Account aaa has been created.
00:56:15: aaa has logged in from 127.0.0.1.
00:56:16: aaa/Gileijah has began playing Eight Destinies.
01:11:45: aaa has logged in from 127.0.0.1.
01:11:48: aaa/Son of Culb Ghendir has began playing Eight Destinies.
01:12:56: aaa has logged in from 127.0.0.1.
01:12:58: aaa/Gileijah has began playing Eight Destinies.
01:14:20: aaa has logged in from 127.0.0.1.
01:14:22: aaa/Son of Culb Ghendir has began playing Eight Destinies.
01:17:56: aaa has logged in from 127.0.0.1.
01:17:58: aaa/Gileijah has began playing Eight Destinies.
01:20:56: aaa has logged in from 127.0.0.1.
01:20:59: aaa/Son of Culb Ghendir has began playing Eight Destinies.
02:34:19: aaa has logged in from 127.0.0.1.
02:34:21: aaa/Gileijah has began playing Eight Destinies.
21:52:29: aaa has logged in from 127.0.0.1.
21:52:32: aaa/Gileijah has began playing Eight Destinies.
22:17:00: aaa has logged in from 127.0.0.1.
22:17:02: aaa/Son of Culb Ghendir has began playing Eight Destinies.
22:49:33: aaa has logged in from 127.0.0.1.
22:49:35: aaa/Gileijah has began playing Eight Destinies.
22:52:23: aaa has logged in from 127.0.0.1.
22:52:26: aaa/Son of Culb Ghendir has began playing Eight Destinies.
22:57:19: aaa has logged in from 127.0.0.1.
22:57:21: aaa/Gileijah has began playing Eight Destinies.
23:03:21: aaa has logged in from 127.0.0.1.
23:03:23: aaa/Son of Culb Ghendir has began playing Eight Destinies.
23:07:03: aaa has logged in from 127.0.0.1.
23:07:05: aaa/Gileijah has began playing Eight Destinies.
23:13:36: aaa has logged in from 127.0.0.1.
23:13:37: aaa/Gileijah has began playing Eight Destinies.
23:13:45: aaa has logged in from 127.0.0.1.
23:13:47: aaa/Son of Culb Ghendir has began playing Eight Destinies.
23:21:58: aaa has logged in from 127.0.0.1.
23:22:01: aaa/Gileijah has began playing Eight Destinies.
23:24:32: aaa has logged in from 127.0.0.1.
23:24:34: aaa/Son of Culb Ghendir has began playing Eight Destinies.
23:30:13: aaa has logged in from 127.0.0.1.
23:30:15: aaa/Gileijah has began playing Eight Destinies.
23:34:21: aaa has logged in from 127.0.0.1.
23:34:23: aaa/Son of Culb Ghendir has began playing Eight Destinies.
23:38:35: aaa has logged in from 127.0.0.1.
23:38:37: aaa/Gileijah has began playing Eight Destinies.
23:47:25: aaa has logged in from 127.0.0.1.
23:47:28: aaa/Son of Culb Ghendir has began playing Eight Destinies.
23:49:33: aaa has logged in from 127.0.0.1.
23:49:34: aaa/Gileijah has began playing Eight Destinies.
23:54:01: aaa has logged in from 127.0.0.1.
23:54:03: aaa/Son of Culb Ghendir has began playing Eight Destinies.
23:57:56: aaa has logged in from 127.0.0.1.
23:57:58: aaa/Gileijah has began playing Eight Destinies.
00:08:52: aaa has logged in from 127.0.0.1.
00:08:55: aaa/Son of Culb Ghendir has began playing Eight Destinies.
00:14:15: aaa has logged in from 127.0.0.1.
00:14:16: aaa/Son of Culb Ghendir has began playing Eight Destinies.
00:16:18: aaa has logged in from 127.0.0.1.
00:16:20: aaa/Gileijah has began playing Eight Destinies.
00:21:36: aaa has logged in from 127.0.0.1.
00:21:37: aaa/Son of Culb Ghendir has began playing Eight Destinies.
00:33:42: aaa has logged in from 127.0.0.1.
00:33:45: aaa/Gileijah has began playing Eight Destinies.
00:36:44: aaa has logged in from 127.0.0.1.
00:36:47: aaa/Son of Culb Ghendir has began playing Eight Destinies.
00:38:58: aaa has logged in from 127.0.0.1.
00:38:59: aaa/Gileijah has began playing Eight Destinies.
00:48:59: aaa has logged in from 127.0.0.1.
00:49:01: aaa/Son of Culb Ghendir has began playing Eight Destinies.
01:54:44: aaa has logged in from 127.0.0.1.
01:54:53: Character deleted on aaa's account.
01:55:01: Character deleted on aaa's account.
01:56:08: Character Son of Belat added to aaa's account.
01:56:13: aaa/Son of Belat has began playing Eight Destinies.
01:59:32: aaa has logged in from 127.0.0.1.
01:59:34: aaa/Gileijah has began playing Eight Destinies.
02:00:14: aaa has logged in from 127.0.0.1.
02:00:15: aaa/Son of Belat has began playing Eight Destinies.
21:29:10: aaa has logged in from 127.0.0.1.
21:29:14: aaa/Gileijah has began playing Eight Destinies.
17:50:42: aaa has logged in from 127.0.0.1.
17:50:51: aaa/Gileijah has began playing Eight Destinies.
20:16:44: aaa has logged in from 127.0.0.1.
20:16:45: aaa/Gileijah has began playing Eight Destinies.
20:18:04: aaa has logged in from 127.0.0.1.
20:18:06: aaa/Gileijah has began playing Eight Destinies.
22:09:55: aaa has logged in from 127.0.0.1.
22:10:00: aaa/Son of Belat has began playing Eight Destinies.
22:10:11: aaa has logged in from 127.0.0.1.
22:10:13: aaa/Son of Culb Ghendir has began playing Eight Destinies.
22:38:03: aaa has logged in from 127.0.0.1.
22:38:06: aaa/Son of Belat has began playing Eight Destinies.
05:15:06: aaa has logged in from 127.0.0.1.
05:15:10: aaa/Gileijah has began playing Eight Destinies.
19:49:51: aaa has logged in from 127.0.0.1.
19:49:55: aaa/Gileijah has began playing Eight Destinies.
20:15:14: aaa has logged in from 127.0.0.1.
20:15:18: aaa/Gileijah has began playing Eight Destinies.
20:18:34: aaa has logged in from 127.0.0.1.
20:18:35: aaa/Gileijah has began playing Eight Destinies.
20:20:27: aaa has logged in from 127.0.0.1.
20:20:29: aaa/Gileijah has began playing Eight Destinies.
20:21:52: aaa has logged in from 127.0.0.1.
20:21:54: aaa/Gileijah has began playing Eight Destinies.
20:24:45: aaa has logged in from 127.0.0.1.
20:24:47: aaa/Gileijah has began playing Eight Destinies.
20:28:31: aaa has logged in from 127.0.0.1.
20:28:37: aaa/Gileijah has began playing Eight Destinies.
20:35:16: aaa has logged in from 127.0.0.1.
20:35:18: aaa/Gileijah has began playing Eight Destinies.
20:40:13: aaa has logged in from 127.0.0.1.
20:40:16: aaa/Gileijah has began playing Eight Destinies.
20:41:56: aaa has logged in from 127.0.0.1.
20:41:58: aaa/Gileijah has began playing Eight Destinies.
20:43:13: aaa has logged in from 127.0.0.1.
20:43:14: aaa/Gileijah has began playing Eight Destinies.
20:45:26: aaa has logged in from 127.0.0.1.
20:45:27: aaa/Gileijah has began playing Eight Destinies.
20:47:21: aaa has logged in from 127.0.0.1.
20:47:22: aaa/Gileijah has began playing Eight Destinies.
20:49:35: Map #2: Gileijah : hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
20:49:37: Map #2: Gileijah : hhghf
20:50:15: aaa has logged in from 127.0.0.1.
20:50:17: aaa/Gileijah has began playing Eight Destinies.
20:50:46: Map #2: Gileijah : ggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggg
20:51:48: aaa has logged in from 127.0.0.1.
20:51:50: aaa/Gileijah has began playing Eight Destinies.
20:52:30: aaa has logged in from 127.0.0.1.
20:52:34: aaa/Gileijah has began playing Eight Destinies.
20:54:44: aaa has logged in from 127.0.0.1.
20:54:45: aaa/Gileijah has began playing Eight Destinies.
20:54:54: Map #2: Gileijah : A B C D E F G H I J K L M N O P Q R S T U V W X Y Z...1 2 3 4 5 6 7 8 9 0!!!!!!!.....!!!!!.....&&&&&
20:56:38: aaa has logged in from 127.0.0.1.
20:56:40: aaa/Gileijah has began playing Eight Destinies.
20:56:46: Map #2: Gileijah : gfdgdfgdfg
20:57:36: Map #2: Gileijah : hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhy
20:59:03: aaa has logged in from 127.0.0.1.
20:59:05: aaa/Gileijah has began playing Eight Destinies.
20:59:08: Map #2: Gileijah : dasdsadasdadasd
20:59:49: aaa has logged in from 127.0.0.1.
20:59:51: aaa/Gileijah has began playing Eight Destinies.
21:01:27: aaa has logged in from 127.0.0.1.
21:01:31: aaa/Gileijah has began playing Eight Destinies.
21:03:53: aaa has logged in from 127.0.0.1.
21:03:55: aaa/Gileijah has began playing Eight Destinies.
21:09:14: Map #2: Gileijah : a
21:17:36: aaa has logged in from 127.0.0.1.
21:17:39: aaa/Gileijah has began playing Eight Destinies.
21:22:06: aaa has logged in from 127.0.0.1.
21:22:07: aaa/Gileijah has began playing Eight Destinies.
21:27:49: aaa has logged in from 127.0.0.1.
21:27:50: aaa/Gileijah has began playing Eight Destinies.
21:29:34: aaa has logged in from 127.0.0.1.
21:29:36: aaa/Gileijah has began playing Eight Destinies.
21:32:40: aaa has logged in from 127.0.0.1.
21:32:42: aaa/Gileijah has began playing Eight Destinies.
21:36:19: aaa has logged in from 127.0.0.1.
21:36:20: aaa/Gileijah has began playing Eight Destinies.
21:38:36: aaa has logged in from 127.0.0.1.
21:38:38: aaa/Gileijah has began playing Eight Destinies.
21:56:55: aaa has logged in from 127.0.0.1.
21:56:57: aaa/Gileijah has began playing Eight Destinies.
22:01:08: aaa has logged in from 127.0.0.1.
22:01:11: aaa/Gileijah has began playing Eight Destinies.
22:05:03: aaa has logged in from 127.0.0.1.
22:05:05: aaa/Gileijah has began playing Eight Destinies.
22:06:28: aaa has logged in from 127.0.0.1.
22:06:30: aaa/Gileijah has began playing Eight Destinies.
22:08:15: aaa has logged in from 127.0.0.1.
22:08:17: aaa/Gileijah has began playing Eight Destinies.
22:09:43: aaa has logged in from 127.0.0.1.
22:09:45: aaa/Gileijah has began playing Eight Destinies.
22:10:26: aaa has logged in from 127.0.0.1.
22:10:28: aaa/Gileijah has began playing Eight Destinies.
22:22:18: aaa has logged in from 127.0.0.1.
22:22:20: aaa/Gileijah has began playing Eight Destinies.
22:22:47: aaa has logged in from 127.0.0.1.
22:22:49: aaa/Gileijah has began playing Eight Destinies.
22:26:08: aaa has logged in from 127.0.0.1.
22:26:11: aaa/Gileijah has began playing Eight Destinies.
22:29:57: aaa has logged in from 127.0.0.1.
22:29:59: aaa/Gileijah has began playing Eight Destinies.
22:32:40: aaa has logged in from 127.0.0.1.
22:32:42: aaa/Gileijah has began playing Eight Destinies.
22:33:36: aaa has logged in from 127.0.0.1.
22:33:37: aaa/Gileijah has began playing Eight Destinies.
22:37:36: aaa has logged in from 127.0.0.1.
22:37:38: aaa/Gileijah has began playing Eight Destinies.
22:38:15: aaa has logged in from 127.0.0.1.
22:38:17: aaa/Gileijah has began playing Eight Destinies.
22:39:09: aaa has logged in from 127.0.0.1.
22:39:10: aaa/Gileijah has began playing Eight Destinies.
22:42:54: aaa has logged in from 127.0.0.1.
22:42:56: aaa/Gileijah has began playing Eight Destinies.
23:01:29: aaa has logged in from 127.0.0.1.
23:01:30: aaa/Gileijah has began playing Eight Destinies.
23:13:20: aaa has logged in from 127.0.0.1.
23:13:22: aaa/Gileijah has began playing Eight Destinies.
23:14:10: aaa has logged in from 127.0.0.1.
23:14:11: aaa/Gileijah has began playing Eight Destinies.
23:32:55: aaa has logged in from 127.0.0.1.
23:33:00: aaa/Gileijah has began playing Eight Destinies.
23:34:43: aaa has logged in from 127.0.0.1.
23:34:45: aaa/Gileijah has began playing Eight Destinies.
23:36:12: aaa has logged in from 127.0.0.1.
23:36:13: aaa/Gileijah has began playing Eight Destinies.
23:36:41: aaa has logged in from 127.0.0.1.
23:36:43: aaa/Gileijah has began playing Eight Destinies.
23:47:40: aaa has logged in from 127.0.0.1.
23:47:41: aaa/Gileijah has began playing Eight Destinies.
23:47:56: aaa has logged in from 127.0.0.1.
23:47:58: aaa/Gileijah has began playing Eight Destinies.
23:50:17: aaa has logged in from 127.0.0.1.
23:50:18: aaa/Gileijah has began playing Eight Destinies.
23:50:34: aaa has logged in from 127.0.0.1.
23:50:35: aaa/Gileijah has began playing Eight Destinies.
23:51:12: aaa has logged in from 127.0.0.1.
23:51:14: aaa/Gileijah has began playing Eight Destinies.
23:51:50: aaa has logged in from 127.0.0.1.
23:51:51: aaa/Gileijah has began playing Eight Destinies.
23:52:26: aaa has logged in from 127.0.0.1.
23:52:27: aaa/Gileijah has began playing Eight Destinies.
23:52:58: aaa has logged in from 127.0.0.1.
23:53:00: aaa/Gileijah has began playing Eight Destinies.
23:53:37: aaa has logged in from 127.0.0.1.
23:53:39: aaa/Gileijah has began playing Eight Destinies.
23:53:53: aaa has logged in from 127.0.0.1.
23:53:59: aaa/Gileijah has began playing Eight Destinies.
23:54:40: aaa has logged in from 127.0.0.1.
23:54:42: aaa/Gileijah has began playing Eight Destinies.
18:56:16: aaa has logged in from 127.0.0.1.
18:56:19: aaa/Gileijah has began playing Eight Destinies.
19:49:58: aaa has logged in from 127.0.0.1.
19:50:00: aaa/Gileijah has began playing Eight Destinies.
19:51:53: aaa has logged in from 127.0.0.1.
19:51:54: aaa/Gileijah has began playing Eight Destinies.
20:00:56: aaa has logged in from 127.0.0.1.
20:00:58: aaa/Gileijah has began playing Eight Destinies.
20:17:26: aaa has logged in from 127.0.0.1.
20:17:28: aaa/Gileijah has began playing Eight Destinies.
20:17:58: aaa has logged in from 127.0.0.1.
20:18:00: aaa/Gileijah has began playing Eight Destinies.
20:28:10: aaa has logged in from 127.0.0.1.
20:28:12: aaa/Gileijah has began playing Eight Destinies.
20:28:37: aaa has logged in from 127.0.0.1.
20:28:39: aaa/Gileijah has began playing Eight Destinies.
20:43:47: aaa has logged in from 127.0.0.1.
20:43:48: aaa/Gileijah has began playing Eight Destinies.
20:46:36: aaa has logged in from 127.0.0.1.
20:46:41: aaa/Gileijah has began playing Eight Destinies.
20:47:07: aaa has logged in from 127.0.0.1.
20:47:11: aaa/Gileijah has began playing Eight Destinies.
20:58:23: aaa has logged in from 127.0.0.1.
20:58:25: aaa/Gileijah has began playing Eight Destinies.
20:59:12: aaa has logged in from 127.0.0.1.
20:59:14: aaa/Gileijah has began playing Eight Destinies.
01:17:02: aaa has logged in from 127.0.0.1.
01:17:03: aaa/Gileijah has began playing Eight Destinies.
01:18:07: aaa has logged in from 127.0.0.1.
01:18:11: aaa/Gileijah has began playing Eight Destinies.
01:20:05: aaa has logged in from 127.0.0.1.
01:20:06: aaa/Gileijah has began playing Eight Destinies.
01:20:58: aaa has logged in from 127.0.0.1.
01:21:00: aaa/Gileijah has began playing Eight Destinies.
01:22:53: aaa has logged in from 127.0.0.1.
01:22:56: aaa/Gileijah has began playing Eight Destinies.
01:23:30: aaa has logged in from 127.0.0.1.
01:23:32: aaa/Gileijah has began playing Eight Destinies.
01:25:18: aaa has logged in from 127.0.0.1.
01:25:20: aaa/Gileijah has began playing Eight Destinies.
01:31:20: aaa has logged in from 127.0.0.1.
01:31:21: aaa/Gileijah has began playing Eight Destinies.
01:32:36: aaa has logged in from 127.0.0.1.
01:32:38: aaa/Gileijah has began playing Eight Destinies.
01:33:28: aaa has logged in from 127.0.0.1.
01:33:30: aaa/Gileijah has began playing Eight Destinies.
01:36:53: aaa has logged in from 127.0.0.1.
01:36:54: aaa/Gileijah has began playing Eight Destinies.
01:37:32: aaa has logged in from 127.0.0.1.
01:37:35: aaa/Gileijah has began playing Eight Destinies.
01:41:46: aaa has logged in from 127.0.0.1.
01:41:48: aaa/Gileijah has began playing Eight Destinies.
01:45:52: aaa has logged in from 127.0.0.1.
01:45:59: aaa/Gileijah has began playing Eight Destinies.
01:46:54: aaa has logged in from 127.0.0.1.
01:47:04: aaa has logged in from 127.0.0.1.
01:47:05: aaa/Gileijah has began playing Eight Destinies.
01:48:23: aaa has logged in from 127.0.0.1.
01:48:29: aaa/Gileijah has began playing Eight Destinies.
01:48:54: aaa has logged in from 127.0.0.1.
01:48:55: aaa/Gileijah has began playing Eight Destinies.
01:54:24: aaa has logged in from 127.0.0.1.
01:54:26: aaa/Gileijah has began playing Eight Destinies.
01:56:33: aaa has logged in from 127.0.0.1.
01:56:49: aaa/Gileijah has began playing Eight Destinies.
01:57:34: aaa has logged in from 127.0.0.1.
01:57:35: aaa/Gileijah has began playing Eight Destinies.
01:59:07: aaa has logged in from 127.0.0.1.
01:59:09: aaa/Gileijah has began playing Eight Destinies.
02:00:18: aaa has logged in from 127.0.0.1.
02:00:26: aaa/Gileijah has began playing Eight Destinies.
02:13:13: aaa has logged in from 127.0.0.1.
02:13:15: aaa/Gileijah has began playing Eight Destinies.
02:15:56: aaa has logged in from 127.0.0.1.
02:15:58: aaa/Gileijah has began playing Eight Destinies.
02:21:11: aaa has logged in from 127.0.0.1.
02:21:15: aaa/Gileijah has began playing Eight Destinies.
02:27:57: aaa has logged in from 127.0.0.1.
02:28:01: aaa/Gileijah has began playing Eight Destinies.
02:32:14: aaa has logged in from 127.0.0.1.
02:32:18: aaa/Gileijah has began playing Eight Destinies.
03:15:59: aaa has logged in from 127.0.0.1.
03:16:00: aaa/Gileijah has began playing Eight Destinies.
03:18:34: aaa has logged in from 127.0.0.1.
03:18:36: aaa/Gileijah has began playing Eight Destinies.
03:21:10: aaa has logged in from 127.0.0.1.
03:21:11: aaa/Gileijah has began playing Eight Destinies.
03:26:25: aaa has logged in from 127.0.0.1.
03:26:27: aaa/Gileijah has began playing Eight Destinies.
03:28:10: aaa has logged in from 127.0.0.1.
03:28:12: aaa/Gileijah has began playing Eight Destinies.
16:35:10: aaa has logged in from 127.0.0.1.
16:35:11: aaa/Gileijah has began playing Eight Destinies.
16:36:58: aaa has logged in from 127.0.0.1.
16:36:59: aaa/Gileijah has began playing Eight Destinies.
16:41:55: aaa has logged in from 127.0.0.1.
16:41:57: aaa/Gileijah has began playing Eight Destinies.
16:43:08: aaa has logged in from 127.0.0.1.
16:43:11: aaa/Gileijah has began playing Eight Destinies.
16:44:25: aaa has logged in from 127.0.0.1.
16:44:51: aaa has logged in from 127.0.0.1.
16:45:26: Character Blah added to aaa's account.
16:45:37: aaa/Blah has began playing Eight Destinies.
16:46:47: aaa has logged in from 127.0.0.1.
16:46:50: aaa/Gileijah has began playing Eight Destinies.
16:47:10: aaa has logged in from 127.0.0.1.
16:48:59: Account aaa has been created.
16:49:00: aaa has logged in from 127.0.0.1.
16:49:31: Character Gileijah added to aaa's account.
16:49:55: aaa/Gileijah has began playing Eight Destinies.
16:53:25: aaa has logged in from 127.0.0.1.
16:53:26: aaa/Gileijah has began playing Eight Destinies.
16:55:29: aaa has logged in from 127.0.0.1.
16:55:31: aaa/Gileijah has began playing Eight Destinies.
17:07:05: aaa has logged in from 127.0.0.1.
17:07:07: aaa/Gileijah has began playing Eight Destinies.
17:08:36: aaa has logged in from 127.0.0.1.
17:08:37: aaa/Gileijah has began playing Eight Destinies.
17:10:45: aaa has logged in from 127.0.0.1.
17:10:46: aaa/Gileijah has began playing Eight Destinies.
17:40:26: aaa has logged in from 127.0.0.1.
17:40:29: aaa/Gileijah has began playing Eight Destinies.
17:41:13: aaa has logged in from 127.0.0.1.
17:41:15: aaa/Gileijah has began playing Eight Destinies.
17:43:46: aaa has logged in from 127.0.0.1.
17:43:51: aaa/Gileijah has began playing Eight Destinies.
17:49:43: aaa has logged in from 127.0.0.1.
17:49:44: aaa/Gileijah has began playing Eight Destinies.
17:55:37: aaa has logged in from 127.0.0.1.
17:55:39: aaa/Gileijah has began playing Eight Destinies.
17:56:19: aaa has logged in from 127.0.0.1.
17:56:23: aaa/Gileijah has began playing Eight Destinies.
18:03:05: aaa has logged in from 127.0.0.1.
18:03:07: aaa/Gileijah has began playing Eight Destinies.
18:04:31: aaa has logged in from 127.0.0.1.
18:04:32: aaa/Gileijah has began playing Eight Destinies.
18:06:59: aaa has logged in from 127.0.0.1.
18:07:07: aaa/Gileijah has began playing Eight Destinies.
18:09:45: aaa has logged in from 127.0.0.1.
18:09:47: aaa/Gileijah has began playing Eight Destinies.
18:13:03: aaa has logged in from 127.0.0.1.
18:13:04: aaa/Gileijah has began playing Eight Destinies.
18:14:14: aaa has logged in from 127.0.0.1.
18:14:15: aaa/Gileijah has began playing Eight Destinies.
18:23:04: aaa has logged in from 127.0.0.1.
18:23:06: aaa/Gileijah has began playing Eight Destinies.
18:26:45: aaa has logged in from 127.0.0.1.
18:26:47: aaa/Gileijah has began playing Eight Destinies.
18:28:45:  has logged in from 127.0.0.1.
18:37:02: aaa has logged in from 127.0.0.1.
18:37:13: aaa/Gileijah has began playing Eight Destinies.
18:37:47: aaa has logged in from 127.0.0.1.
18:37:48: aaa/Gileijah has began playing Eight Destinies.
18:39:50: aaa has logged in from 127.0.0.1.
18:39:51: aaa/Gileijah has began playing Eight Destinies.
18:53:00: aaa has logged in from 127.0.0.1.
18:53:01: aaa/Gileijah has began playing Eight Destinies.
19:02:34: aaa has logged in from 127.0.0.1.
19:02:48: aaa/Gileijah has began playing Eight Destinies.
19:04:58: aaa has logged in from 127.0.0.1.
19:05:05: aaa/Gileijah has began playing Eight Destinies.
19:06:36: aaa has logged in from 127.0.0.1.
19:06:51: aaa/Gileijah has began playing Eight Destinies.
19:18:33: aaa has logged in from 127.0.0.1.
19:18:39: aaa/Gileijah has began playing Eight Destinies.
19:19:49: aaa has logged in from 127.0.0.1.
19:19:50: aaa/Gileijah has began playing Eight Destinies.
19:54:51: aaa has logged in from 127.0.0.1.
19:54:52: aaa/Gileijah has began playing Eight Destinies.
21:37:33: aaa has logged in from 127.0.0.1.
21:37:37: aaa/Gileijah has began playing Eight Destinies.
21:47:57: aaa has logged in from 127.0.0.1.
21:48:01: aaa/Gileijah has began playing Eight Destinies.
21:56:24: aaa has logged in from 127.0.0.1.
21:56:27: aaa/Gileijah has began playing Eight Destinies.
21:58:03: aaa has logged in from 127.0.0.1.
22:00:22: aaa has logged in from 127.0.0.1.
22:00:24: aaa/Gileijah has began playing Eight Destinies.
22:02:17: aaa has logged in from 127.0.0.1.
22:02:19: aaa/Gileijah has began playing Eight Destinies.
22:07:58: aaa has logged in from 127.0.0.1.
22:08:00: aaa/Gileijah has began playing Eight Destinies.
22:27:15: aaa has logged in from 127.0.0.1.
22:27:16: aaa/Gileijah has began playing Eight Destinies.
22:29:59: aaa has logged in from 127.0.0.1.
22:30:01: aaa/Gileijah has began playing Eight Destinies.
22:47:05: aaa has logged in from 127.0.0.1.
22:47:06: aaa/Gileijah has began playing Eight Destinies.
22:49:01: aaa has logged in from 127.0.0.1.
22:49:07: aaa/Gileijah has began playing Eight Destinies.
22:50:20: aaa has logged in from 127.0.0.1.
22:50:21: aaa/Gileijah has began playing Eight Destinies.
22:52:53: aaa has logged in from 127.0.0.1.
22:52:55: aaa/Gileijah has began playing Eight Destinies.
15:24:54: aaa has logged in from 127.0.0.1.
15:24:57: aaa/Gileijah has began playing Eight Destinies.
15:49:52: aaa has logged in from 127.0.0.1.
15:49:54: aaa/Gileijah has began playing Eight Destinies.
18:49:40: aaa has logged in from 127.0.0.1.
18:49:41: aaa/Gileijah has began playing Eight Destinies.
18:53:33: Map #2: Gileijah : gdfgfdgg
18:56:27: aaa has logged in from 127.0.0.1.
18:56:28: aaa/Gileijah has began playing Eight Destinies.
19:09:55: aaa has logged in from 127.0.0.1.
19:09:56: aaa/Gileijah has began playing Eight Destinies.
19:24:38: aaa has logged in from 127.0.0.1.
19:24:40: aaa/Gileijah has began playing Eight Destinies.
19:41:25: aaa has logged in from 127.0.0.1.
19:41:26: aaa/Gileijah has began playing Eight Destinies.
19:43:04: aaa has logged in from 127.0.0.1.
19:43:06: aaa/Gileijah has began playing Eight Destinies.
19:44:19: aaa has logged in from 127.0.0.1.
19:44:21: aaa/Gileijah has began playing Eight Destinies.
19:58:30: aaa has logged in from 127.0.0.1.
19:58:33: aaa/Gileijah has began playing Eight Destinies.
20:10:25: aaa has logged in from 127.0.0.1.
20:10:28: aaa/Gileijah has began playing Eight Destinies.
20:16:41: aaa has logged in from 127.0.0.1.
20:16:43: aaa/Gileijah has began playing Eight Destinies.
20:17:39: aaa has logged in from 127.0.0.1.
20:17:40: aaa/Gileijah has began playing Eight Destinies.
20:31:00: aaa has logged in from 127.0.0.1.
20:31:01: aaa/Gileijah has began playing Eight Destinies.
17:56:20: aaa has logged in from 127.0.0.1.
17:56:23: aaa/Gileijah has began playing Eight Destinies.
17:59:06: aaa has logged in from 127.0.0.1.
17:59:08: aaa/Gileijah has began playing Eight Destinies.
20:02:40: aaa has logged in from 127.0.0.1.
20:02:46:  has logged in from 127.0.0.1.
20:02:49: aaa has logged in from 127.0.0.1.
20:02:51: aaa/Gileijah has began playing Eight Destinies.
20:27:58: aaa has logged in from 127.0.0.1.
20:28:00: aaa/Gileijah has began playing Eight Destinies.
20:34:48: aaa has logged in from 127.0.0.1.
20:34:49: aaa/Gileijah has began playing Eight Destinies.
20:35:39: aaa has logged in from 127.0.0.1.
20:35:42: aaa has logged in from 127.0.0.1.
20:35:44: aaa/Gileijah has began playing Eight Destinies.
21:49:33: aaa has logged in from 127.0.0.1.
21:49:35: aaa/Gileijah has began playing Eight Destinies.
22:18:44: aaa has logged in from 127.0.0.1.
22:18:46: aaa/Gileijah has began playing Eight Destinies.
22:22:00: aaa has logged in from 127.0.0.1.
22:24:54: aaa has logged in from 127.0.0.1.
22:24:55: aaa/Gileijah has began playing Eight Destinies.
22:31:29: aaa has logged in from 127.0.0.1.
22:31:31: aaa/Gileijah has began playing Eight Destinies.
22:36:41: aaa has logged in from 127.0.0.1.
22:36:42: aaa/Gileijah has began playing Eight Destinies.
22:56:36: aaa has logged in from 127.0.0.1.
22:56:37: aaa/Gileijah has began playing Eight Destinies.
23:09:01: aaa has logged in from 127.0.0.1.
23:09:03: aaa/Gileijah has began playing Eight Destinies.
01:47:20: aaa has logged in from 127.0.0.1.
01:47:21: aaa/Gileijah has began playing Eight Destinies.
02:31:59: aaa has logged in from 127.0.0.1.
02:32:01: aaa/Gileijah has began playing Eight Destinies.
02:40:44: aaa has logged in from 127.0.0.1.
02:40:46: aaa/Gileijah has began playing Eight Destinies.
02:54:50: aaa has logged in from 127.0.0.1.
02:54:52: aaa/Gileijah has began playing Eight Destinies.
03:50:16: aaa has logged in from 127.0.0.1.
03:50:17: aaa/Gileijah has began playing Eight Destinies.
02:19:15: aaa has logged in from 127.0.0.1.
02:19:17: aaa/Gileijah has began playing Eight Destinies.
04:11:27: aaa has logged in from 127.0.0.1.
04:11:30: aaa/Gileijah has began playing Eight Destinies.
16:08:57: aaa has logged in from 127.0.0.1.
16:09:02: aaa/Gileijah has began playing Eight Destinies.
16:17:41: aaa has logged in from 127.0.0.1.
16:17:43: aaa/Gileijah has began playing Eight Destinies.
23:26:14: aaa has logged in from 127.0.0.1.
23:26:17: aaa/Gileijah has began playing Eight Destinies.
23:30:01: aaa has logged in from 127.0.0.1.
23:30:18: aaa/Gileijah has began playing Eight Destinies.
19:36:42: aaa has logged in from 127.0.0.1.
19:36:45: aaa/Gileijah has began playing Eight Destinies.
21:45:36: aaa has logged in from 127.0.0.1.
21:45:37: aaa/Gileijah has began playing Eight Destinies.
22:33:33: aaa has logged in from 127.0.0.1.
22:33:35: aaa/Gileijah has began playing Eight Destinies.
22:34:42: aaa has logged in from 127.0.0.1.
22:34:45: aaa/Gileijah has began playing Eight Destinies.
22:35:35: aaa has logged in from 127.0.0.1.
22:35:38: aaa/Gileijah has began playing Eight Destinies.
22:36:50: aaa has logged in from 127.0.0.1.
22:36:52: aaa/Gileijah has began playing Eight Destinies.
22:37:58: aaa has logged in from 127.0.0.1.
22:37:59: aaa/Gileijah has began playing Eight Destinies.
22:48:23: aaa has logged in from 127.0.0.1.
22:48:25: aaa/Gileijah has began playing Eight Destinies.
22:50:01: aaa has logged in from 127.0.0.1.
22:50:17: aaa has logged in from 127.0.0.1.
22:50:19: aaa/Gileijah has began playing Eight Destinies.
22:51:35: aaa has logged in from 127.0.0.1.
22:51:37: aaa has logged in from 127.0.0.1.
22:51:37: aaa/Gileijah has began playing Eight Destinies.
22:56:46: aaa has logged in from 127.0.0.1.
22:56:47: aaa/Gileijah has began playing Eight Destinies.
